,Link PDF Extraído,Título,Autores,Data Publicação,Publicação Mãe,Link
26,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/201216_cc_49_nota_31_politica_fiscal.pdf,POLÍTICA FISCAL,", Economia Mundial",,Carta de Conjuntura - 2020 - 4º Trimestre - nº 49,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37252
27,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/201127_cc_49_nota_23_comercio_mundial.pdf,ANÁLISE DOS DADOS PRELIMINARES DO COMÉRCIO MUNDIAL EM 2020,", Agropecuária",,Carta de Conjuntura - 2020 - 4º Trimestre - nº 49,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37252
28,,,,,Carta de Conjuntura - 2020 - 3º Trimestre - nº 48,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36101
29,,,,,Carta de Conjuntura - 2020 - 3º Trimestre - nº 48,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36101
30,https://portalantigo.ipea.gov.br/portal/../cartadeconjuntura/wp-content/uploads/2020/05/200526_beltim_final_III.pdf,BOLETIM DE ACOMPANHAMENTO SETORIAL DA ATIVIDADE ECONÔMICA,", , Leonardo Mello de Carvalho, Maria Andreia Parente Lameiras, Marcelo Lima de Moraes",,Carta de Conjuntura - 2020 - 2º Trimestre - nº 47,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35873
31,,,,,Carta de Conjuntura - 2020 - 2º Trimestre - nº 47,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35873
32,,,,,Carta de Conjuntura - 2020 - 1º Trimestre - nº 46,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35348
33,,,,,Carta de Conjuntura - 2020 - 1º Trimestre - nº 46,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35348
34,,,,,Carta de Conjuntura - 2019 - 4º Trimestre - nº 45,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35176
35,,,,,Carta de Conjuntura - 2019 - 4º Trimestre - nº 45,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35176
36,,,,,Carta de Conjuntura - 2019 - 3º Trimestre - nº 44,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34894
37,,,,,Carta de Conjuntura - 2019 - 3º Trimestre - nº 44,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34894
38,,,,,Carta de Conjuntura - 2019 - 2º Trimestre - nº 43,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34747
39,,,,,Carta de Conjuntura - 2019 - 2º Trimestre - nº 43,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34747
