Título,Link,Tipo,Data da Publicação,PDF Links
Cooperação Internacional em Tempos de Pandemia: Relatório COBRADI 2019-2020,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39458&Itemid=466,Publicações - Livros (todos os anos)/2022,26/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_internacional_web.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_apresentacao.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_cap01.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_cap02.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_cap03.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_cap04.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_cap05.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_cap06.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_apendice.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2785 - A Imagem do Burocrata Insatisfatório: Uma Apreciação,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39457&Itemid=466,Publicações - TDs (todos os anos)/2022,26/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2785_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2785.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Policy Brief - Em Questão - Evidências para políticas públicas - Presença de Militares em Cargos e Funções Comissionadas do Executivo Federal,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39456&Itemid=466,Boletim - Em Questão/2022,26/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/220726_pb16_militares.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Nota Técnica - 2022 - Julho - Número 31 - Dirur - Consórcios Públicos Interfederativos no Brasil: Descrição das Principais Fontes de Informação e Resultados Preliminares,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39454&Itemid=7,Publicações - Notas Técnicas/Dirur,26/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220726_218196_nt_dirur_31_web.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
"Tempo do Mundo, Número 28 - Abril 2022",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,Publicações - Tempo do Mundo/Dinte,19/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/book_rtm_28_web.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/215631_rtm_28_sumario.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/217044_rtm_28_cartadoeditor.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/217044_rtm_28_apresentacao.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_introducao.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_1.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_2.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_3.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_4.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_5.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_6.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_7.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_8.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_9.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_10.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_11.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_12.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/215631_rtm_28_final.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2783 - Políticas de Fomento ao Desenvolvimento de Fármacos e Medicamentos no Brasil: Panorama de 1998 a 2020,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39443&Itemid=466,Publicações - TDs (todos os anos)/2022,19/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2783_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2783.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Nota Técnica - 2022 - Julho - Número 32 - Dirur - Integraçao Pecuária-Lavoura: Avanços e Principais Desafios,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39435&Itemid=7,Publicações - Notas Técnicas/Dirur,18/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220718_218703_nt_dirurn_32_web.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2784 - O Estudante de Hoje Financiado Pelo Profissional do Amanhã: Proposta de um Sistema Nacional de Financiamento Estudantil com Pagamentos Vinculados à Renda Futura - Funcionamento e Fonte de Recursos,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39436&Itemid=466,Publicações - TDs (todos os anos)/2022,18/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2784_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2784.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2781 - Tendências e Desigualdades da Mobilidade Urbana no Brasil II: Características e Padrões de Consumo da Mobilidade por aplicativo,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39432&Itemid=466,Publicações - TDs (todos os anos)/2022,15/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2781_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2781.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Uma solução em busca de um problema :repensando o enfrentamento ao tráfico de pessoas no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,Publicações - Livros (todos os anos)/2022,14/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_prefacio.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_introducao.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_cap_1.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_cap_2.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_cap_3.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_cap_4.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_cap_5.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_conclusoes.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_referencias.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_siglas_entrevistas.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_notas_biograficas.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
