Título,Link,Tipo,Data da Publicação,PDF Links
Revista Desafios do Desenvolvimento - edição 88,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29065,Publicações - Revista Desafios/Presidência,01/12/2016,['https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']
Nota Técnica - 2016 - novembro - Número 31 - Disoc - Deficiência e Dependência no Debate sobre a Elegibilidade ao BPC,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29057,Publicações - Notas Técnicas/Disoc,29/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/161129_nt_31_disoc.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Nota Técnica - 2016 - novembro - Número 33 - Diset - Comportamento Produtivo da Indústria Brasileira no Terceiro Trimestre de 2016,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29056,Publicações - Notas Técnicas/Diset,29/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/161129_nt_33_diset.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2256 - Reconfiguração Estrutural da Educação Superior Privada no Brasil: nova fase da mercantilização do ensino,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29045,Publicações - TDs (todos os anos)/2016,28/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/gremi00td_2256_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2256.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2255 - A Dinâmica Inovativa das Empresas de Pequeno Porte no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29047,Publicações - TDs (todos os anos)/2016,28/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/fernandotd_2255_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/fernando2td_2255.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
DP 0221 - Challenges and Opportunities for the Sustainable Development of Cattle Raising in Brazil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29051,Publicações - Discussion Paper (Todos anos)/2016,28/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_221.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_221_sumex.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2254 - Armas de Fogo e Suicídios,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29012,Publicações - TDs (todos os anos)/2016,23/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2254_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2254.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2253 - Os Arranjos Institucionais dos Investimentos em Infraestrutura no Brasil: uma análise sobre seis grandes projetos do Programa de Aceleração de Crescimento,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29014,Publicações - TDs (todos os anos)/2016,23/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2253_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2253_web.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Relatório de Pesquisa - A Evolução Recente da Abrangência do Programa de Abono Salarial,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=29015,Publicações - Relatório de Pesquisa/Disoc,23/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/relatoriopesquisa/161123_relatorio_pesquisa_evolucao_recente_abrangencia_programa_abono_salarial.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
DP 0220 - Impacts of Outsourcing on Wage: New Evidence for the Brazilian Debate,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28971,Publicações - Discussion Paper (Todos anos)/2016,18/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_220.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_220_sumex.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
DP 0219 - Unions in Brazil: What to Expect in the Near Future?,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28970,Publicações - Discussion Paper (Todos anos)/2016,18/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_219.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_219_sumex.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
DP 0218 - Conditions for Innovation in Brazil: a Review of Key Issues and Policy Challenges,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28969,Publicações - Discussion Paper (Todos anos)/2016,18/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_218.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_218_sumex.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2252 - A Atuação dos Controles Interno e Externo ao Executivo como Condicionante da Execução de Investimento em Infraestrutura no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28946,Publicações - TDs (todos os anos)/2016,14/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/14112016td_2252_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/14112016td_2252.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2251 - Condicionantes Institucionais à Execução do Investimento em Infraestrutura no Brasil: estudo de caso sobre a implementação da ferrovia Transnordestina,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28945,Publicações - TDs (todos os anos)/2016,14/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/14112016td_2251_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/14112016td_2251.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2249 - A dinâmica do crescimento das exportações do agronegócio brasileiro,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28944,Publicações - TDs (todos os anos)/2016,14/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2249c_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2249v.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Radar - 2016 - Novembro - Nº 47,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28918,Publicações - Radar/Diset,09/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/radar/161110_radar_47.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/radar/radar47_0_apresentacao.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/radar/radar47_1_reflexao.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/radar/radar47_2_como_estados.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/radar/radar47_3_mesorregioes.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/radar/radar47_4_desafios_financiamento.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/radar/radar47_5_infraestrutura.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
"Boletim Mercado de Trabalho - Conjuntura e Análise nº 61, Outubro 2016",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28907,Publicações - Mercado de Trabalho/Disoc,08/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/161117_bmt_61.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/bmt61_apresentacao.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/bmt61_analise.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/bmt61_notas1.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/bmt61_notas2.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/bmt61_politica1.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/bmt61_politica2.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/bmt61_politica3.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/bmt61_politica4.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/bmt61_economia1.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/bmt61_economia2.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/bmt61_economia3.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
"Participação, conflitos e intervenções urbanas: contribuições à Habitat III",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28902,Publicações - Livros (todos os anos)/2016,08/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/161108_livro_democracia_participacao_conflitos_virtual_cegov_2016.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_sumario.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_prefacio.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_apresentacao.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_cap1.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_cap2.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_cap3.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_cap4.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_cap5.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_cap6.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_cap7.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_cap8.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_cap9.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_cap10.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_cap11.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/20170420_livro_participacao-conflitos-intervencoes-urbanas_cap12.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Relatório de Pesquisa - A Aprendizagem e a Inserção de Jovens no Mercado de Trabalho: Uma Análise com Base na RAIS,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28898,Publicações - Relatório de Pesquisa/Presidência,07/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/relatoriopesquisa/20161107_relatorio-118394.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Relatório de Pesquisa - Economia dos Cuidados: Marco Teórico-conceitual,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28897,Publicações - Relatório de Pesquisa/Presidência,07/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/relatoriopesquisa/20161107_relatorio_economiadoscuidados.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2247 - Reavaliando a Vulnerabilidade Externa da Economia Brasileira,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28900,Publicações - TDs (todos os anos)/2016,07/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/07112016td_2247_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/07112016td_2247.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2250 - Eficiência Produtiva e Pobreza Rural no Nordeste Brasileiro,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28901,Publicações - TDs (todos os anos)/2016,07/11/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/07112016td_2250_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/07112016td_2250.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Publicações - PPE - volume 46 - número 2,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28823,Publicações - PPE/Dimac,27/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/161221_ppp47.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Relatório de Pesquisa - Os Novos Dados do Mapeamento de Economia Solidária no Brasil: notas metodológicas e análise das dimensões socioestruturais dos empreendimentos,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28818,Publicações - Relatório de Pesquisa/Disoc,26/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/relatoriopesquisa/161026_relatorio_pesquisa_novos_dados_mapeamento_economia_solidaria_brasil.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2242 - A dinâmica do investimento estrangeiro direto realizado pelos BRICs (1995-2013),https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28814,Publicações - TDs (todos os anos)/2016,26/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/26102016td_2242-sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/26102016td_2242.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2243 - A Dinâmica do Mercado de Crédito no Brasil no Período Recente (2007-2015),https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28815,Publicações - TDs (todos os anos)/2016,26/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/26102016td_2243_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/26102016td_2243.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2244 - Indicadores de Avaliação Subjetiva da Suficiência da Renda das Famílias Brasileiras – um estudo com a pesquisa de orçamentos familiares,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28816,Publicações - TDs (todos os anos)/2016,26/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/26102016td_2244_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/26102016td_2244.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2245 - Impactos da Terceirização sobre a Remuneração do Trabalho no Brasil: novas evidências para o debate,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28817,Publicações - TDs (todos os anos)/2016,26/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/26102016td_2245_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/26102016td_2245.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2246 - Estimativa da População em Situação de Rua no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28819,Publicações - TDs (todos os anos)/2016,26/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/26102016td_2246_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/26102016td_2246.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
"TD 2241 - Efeitos da Ampliação dos Direitos Trabalhistas sobre a Formalização, Jornada de Trabalho e Salários das Empregadas Domésticas",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28822,Publicações - TDs (todos os anos)/2016,26/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/26102016td_2241_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/26102016td_2241.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Relatório de Pesquisa - Rede urbana brasileira como agenda de pesquisa no Ipea: retrospecto e perspectivas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28813,Publicações - Relatório de Pesquisa/Dirur,26/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/relatoriopesquisa/161026_relatorio_pesquisa_rede_urbana_brasileira_agenda_pesquisa_ipea_retrospecto_perspectivas.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Relatório de Pesquisa - Logística e Transportes no Brasil: uma análise do programa de investimentos 2013-2017 em rodovias e ferrovias,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28812,Publicações - Relatório de Pesquisa/Dirur,26/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/relatoriopesquisa/161026_relatorio_pesquisa_logistica_transportes_brasil.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
DP 0217 - Conflicts Between State and Civil Society Related to Infrastructure Projects,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28809,Publicações - Discussion Paper (Todos anos)/2016,25/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_217.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_217_sumex.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Nota Técnica - 2016 - outubro - Número 30 - Disoc - Quanto Custa o Plano Nacional de Educação? Uma Estimativa Orientada pelo Custo Aluno Qualidade (CAQ),https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28785,Publicações - Notas Técnicas/Disoc,20/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/161014_nt_30_disoc.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2238 - Limitações de um Teste de Meios Via Predição de Renda: evidências de uma aplicação no Programa Bolsa Família,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28775,Publicações - TDs (todos os anos)/2016,19/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/19102016td_2238_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/19102016td_2238.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Relatório de Pesquisa - Retrato das Áreas Centrais do Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28774,Publicações - Relatório de Pesquisa/Dirur,19/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/relatoriopesquisa/161019_relatorio_pesquisa_retrato_areas_urbanas_centrais_brasil.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
"TD 2236 - Coerência, Convergência e Cooperação Regulatória nos Capítulos de Barreiras Técnicas ao Comércio e Medidas Sanitárias e Fitossanitárias do Acordo Transpacífico",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28762,Publicações - TDs (todos os anos)/2016,18/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/18102016td_2236_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/18102016td_2236.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2235 - As Economias Emergentes e o Cenário Internacional,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28761,Publicações - TDs (todos os anos)/2016,18/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/18102016td_2235_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/18102016td_2235.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2237 - A Construção Social da Informalidade e da Semiformalidade no Brasil: uma proposta para o debate,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28763,Publicações - TDs (todos os anos)/2016,18/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/18102016td_2237_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/18102016td_2237.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
"TD 2239 - Condicionantes Institucionais ao Investimento em infraestrutura: elaboração, avaliação e seleção de projetos",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28764,Publicações - TDs (todos os anos)/2016,18/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/18102016td_2239_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/18102016td_2239.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
"TD 2240 - Arte, Educação e a Prova do Pudim: entre os direitos públicos subjetivos e a efetividade das políticas da arte",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28765,Publicações - TDs (todos os anos)/2016,18/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/18102016td_2240_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/18102016td_2240_.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
DP 0215 - Full Bayesian Inference for Asymmetric Garch Models with Student-t Innovations,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28766,Publicações - Discussion Paper (Todos anos)/2016,18/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_215.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_215_sumex.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Nota Técnica - 2016 - outubro - Número 29 - Disoc - As Idades Médias de Aposentadoria Urbana por Unidade da Federação e Região,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28729,Publicações - Notas Técnicas/Disoc,14/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/161014_nt_29_disoc.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
DP 0216 - Electricity Market Operation: Transitioning from a Free Market to a Single Buyer Structure,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28717,Publicações - Discussion Paper (Todos anos)/2016,11/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_216.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_216_sumex.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
"TD 2234 - Desenvolvimento de Metodologia de Avaliação Pós-Ocupação do Programa Minha Casa Minha vida: Aspectos Funcionais, Comportamentais e Ambientais",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=28709,Publicações - TDs (todos os anos)/2016,07/10/2016,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/07102016td_2234_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/07102016td_2234.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
