,Data de Criação,Título do Livro,Categoria,Organizadores,Link do PDF
28,14/10/2020 12:54,,História das Políticas Regionais no Brasil,,/portal/images/stories/PDFs/livros/livros/201014_livro_historias_das_politicas_regionais_no_brasil.pdf
29,30/09/2020 15:10,,Refúgio no Brasil: integração de refugiados e solicitantes de refúgio em Brasília (2019),,/portal/images/stories/PDFs/livros/livros/200930_livro_refugio_completo.pdf
30,16/09/2020 10:04,,"Políticas Públicas, Economia Criativa e da Cultura",,/portal/images/stories/PDFs/livros/livros/200916_politicas_publicas_economia_criativa.pdf
31,21/08/2020 18:14,Volume 5,Fronteiras do Brasil: uma avaliação do arco Sul,,/portal/images/stories/PDFs/livros/livros/200821_lv_199385_livro_fronteiras_do_brasil.pdf
32,21/08/2020 13:57,,Coordenação e relações intergovernamentais nas políticas sociais brasileiras,,/portal/images/stories/PDFs/livros/livros/200821_coordenacao_book.pdf
33,22/06/2020 12:16,2018),A Midiatização do Refúgio no Brasil (2010,,/portal/images/stories/PDFs/livros/livros/200824_lv_199651_midiatizacao_web.PDF
34,22/06/2020 09:59,,"Desenvolvimento Regional No Brasil Políticas, Estratégias e Perspectivas",,/portal/images/stories/PDFs/livros/200622_livro_desenvolvimento.pdf
35,03/06/2020 15:19,,Instituições e Desenvolvimento no Brasil: diagnósticos e uma agenda de pesquisas para as políticas públicas,,/portal/images/stories/PDFs/livros/200622_livro_instituicoes.pdf
36,12/05/2020 12:28,,,,/portal/images/stories/PDFs/livros/200601_conselhos_nacionais_web.pdf
37,12/05/2020 12:28,,Conselhos nacionais de direitos humanos: uma análise da agenda política,,/portal/images/stories/PDFs/livros/200601_conselhos_nacionais_web.pdf
38,12/05/2020 12:28,,,,/portal/images/stories/PDFs/livros/200601_conselhos_nacionais_web.pdf
39,08/04/2020 09:58,,,"EQUIPE TÉCNICA: Enid Rocha Andrade da Silva (coordenadora), Anna Maria Peliano e José Valente Chaves / Brasília, 2019",http://www.ipea.gov.br/portal/images/stories/PDFs/livros/livros/200408_Cadernos_ODS_17.pdf
40,08/04/2020 09:58,,,,http://www.ipea.gov.br/portal/images/stories/PDFs/livros/livros/200408_Cadernos_ODS_17.pdf
41,08/04/2020 09:58,,ODS 17: Fortalecer os Meios de Implementação e Revitalizar a Parceria Global para o Desenvolvimento Sustentável,,http://www.ipea.gov.br/portal/images/stories/PDFs/livros/livros/200408_Cadernos_ODS_17.pdf
42,03/04/2020 17:51,,Implementação de Políticas e Atuação de Gestores Públicos,,/portal/images/stories/PDFs/livros/200403_implementacao_politica_web.pdf
43,02/01/2020 09:59,Volume 4,Fronteiras do Brasil: uma avaliação do arco Central,,/portal/images/stories/PDFs/livros/livros/20200109%20-%20livro_fronteirasdobrasil_vol%204_completo.pdf
44,13/12/2019 18:28,,Legacy of the CDM: lessons learned and impacts from the Clean Development Mechanism in Brazil as insights for new mechanisms,,/portal/images/stories/PDFs/livros/livros/191213_legacy_of_the_cdm.pdf
45,26/11/2019 17:36,,Diagnóstico e desafios da agricultura brasileira,,/portal/images/stories/PDFs/livros/livros/191126_diagnostico_e_desafios_da_agricultura_brasileira.pdf
46,25/11/2019 12:59,,"Empresas estatais : políticas públicas, governança e desempenho",,/portal/images/stories/PDFs/livros/livros/191125_livro_empresa_estatal_no_brasil.pdf
47,22/11/2019 15:22,SDG – National Targets of Sustainable Development Goals,2030 AGENDA,,/portal/images/stories/PDFs/livros/livros/191122_livro_2030_agenda_sdg_national_targets_of_sustainable_development_goals.pdf
