link_orig,pdf_link,info
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39485&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_cap12.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39481&Itemid=8,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220805_218772_nt_diset_n99_web.pdf,Risco Regulatório e Estimativa do Impacto Financeiro Potencial do PDL nº 94/2022 nos Investimentos em Infraestrutura
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39480&Itemid=6,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220805_218759_nt_diest_n58_web.pdf,Despesas com Pessoal Ativo na Federação Brasileira (2002 - 2020)
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39482&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2789_sumex.pdf,"Uallace Moreira / Brasília, Agosto de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39482&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2789.pdf,"Uallace Moreira / Brasília, Agosto de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39477&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/2787_218762_td_2787_sumex.pdf,"Rosana Cavalcante de Oliveira / Brasília, Agosto de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39477&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/2787_218762_td_2787_web.pdf,"Rosana Cavalcante de Oliveira / Brasília, Agosto de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39476&Itemid=3,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220804_218206_nt_dinte_n53_web.pdf,Participação dos Insumos Importados na Produção das Empresas Industriais Brasileiras
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_web.pdf,PPP - Planejamento e Políticas Públicas - 61
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_inicio.pdf,PPP - Planejamento e Políticas Públicas - 61
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art01.pdf,PPP - Planejamento e Políticas Públicas - 61
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art02.pdf,PPP - Planejamento e Políticas Públicas - 61
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art03.pdf,PPP - Planejamento e Políticas Públicas - 61
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art04.pdf,PPP - Planejamento e Políticas Públicas - 61
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art05.pdf,PPP - Planejamento e Políticas Públicas - 61
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art06.pdf,PPP - Planejamento e Políticas Públicas - 61
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art07.pdf,PPP - Planejamento e Políticas Públicas - 61
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art08.pdf,PPP - Planejamento e Políticas Públicas - 61
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art09.pdf,PPP - Planejamento e Políticas Públicas - 61
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art10.pdf,PPP - Planejamento e Políticas Públicas - 61
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39468&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2786_sumex.pdf,"Mário Jorge Mendonça, Amaro Olímpio Pereira Jr. e Rodrigo R. de Bragança Aylmer / Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39468&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2786.pdf,"Mário Jorge Mendonça, Amaro Olímpio Pereira Jr. e Rodrigo R. de Bragança Aylmer / Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39458&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_internacional_web.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39458&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_apresentacao.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39458&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_cap01.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39458&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_cap02.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39458&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_cap03.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39458&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_cap04.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39458&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_cap05.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39458&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_cap06.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39458&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_apendice.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39457&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2785_sumex.pdf,"Valdir Melo / Rio de Janeiro, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39457&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2785.pdf,"Valdir Melo / Rio de Janeiro, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39456&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/220726_pb16_militares.pdf,Policy Brief - Em Questão - Evidências para políticas públicas
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39454&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220726_218196_nt_dirur_31_web.pdf,Consórcios Públicos Interfederativos no Brasil: Descrição das Principais Fontes de Informação e Resultados Preliminares
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/book_rtm_28_web.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/215631_rtm_28_sumario.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/217044_rtm_28_cartadoeditor.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/217044_rtm_28_apresentacao.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_introducao.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_1.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_2.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_3.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_4.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_5.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_6.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_7.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_8.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_9.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_10.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_11.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/218569_rtm_28_artigo_12.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/rtm/215631_rtm_28_final.pdf,Editor: Pedro Silva Barros
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39443&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2783_sumex.pdf,"Fabiola Sulpino Vieira / Rio de Janeiro, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39443&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2783.pdf,"Fabiola Sulpino Vieira / Rio de Janeiro, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39435&Itemid=7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220718_218703_nt_dirurn_32_web.pdf,Integraçao Pecuária-Lavoura: Avanços e Principais Desafios
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39436&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2784_sumex.pdf,"Paulo Meyer Nascimento/ Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39436&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2784.pdf,"Paulo Meyer Nascimento/ Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39432&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2781_sumex.pdf,"Lucas Warwar e Rafael H. M. Pereira / Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39432&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2781.pdf,"Lucas Warwar e Rafael H. M. Pereira / Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_prefacio.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_introducao.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_cap_1.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_cap_2.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_cap_3.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_cap_4.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_cap_5.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_conclusoes.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_referencias.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_siglas_entrevistas.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema_notas_biograficas.pdf,
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39424,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/pubpreliminar/220713_publicacao_preliminar_licenciamento_instrumento.pdf,Publicação Preliminar - 2022 - Julho
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39419,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2782_sumex.pdf,"Mario Jorge Mendonça, Igor Ferreira do Nascimento e Luis Alberto Medrano / Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39419,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2782.pdf,"Mario Jorge Mendonça, Igor Ferreira do Nascimento e Luis Alberto Medrano / Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39415,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2780_sumex.pdf,"Rafael T. Schleicher, Marília Miranda e Simone Franco / Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39415,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2780.pdf,"Rafael T. Schleicher, Marília Miranda e Simone Franco / Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39414,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/notas_presidencia/220707_notas_presidencia_gabin_n_11.pdf,"Liberdade econômica, choque de produtividade e a redução do custo do trabalho como fatores determinantes para a igualdade salarial de mulheres e homens"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39411,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/220705_218214_td_2770_sumex.pdf,"Carlos Henrique Ribeiro de Carvalho  / Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39411,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/220705_218214_td_2770_web.pdf,"Carlos Henrique Ribeiro de Carvalho  / Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39409,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220705_218542_nt_diest_57_web.pdf,Atuação das Organizações da Sociedade Civil no Sistema Prisional Brasileiro: Perfil das OSCs e Projetos Desenvolvidos
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39413,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/220706_pb15_concurso_versaodivulgacao.pdf,Policy Brief - Em Questão - Evidências para políticas públicas
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39406,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220704_218608_nt_dinte_56_web.pdf,Facilitação de Comércio e Tecnologias Digitais: Análise para os Países do BRICS
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39403,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/218208_nt_dinte_54_web_novo.pdf,O sistema tributário dos países da OCDE e as principais recomendações da entidade: Fornecendo parâmetros para a reforma tributária no Brasil
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39405,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2779_sumex.pdf,"Fernanda De Negri / Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39405,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2779subs.pdf,"Fernanda De Negri / Brasília, julho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39404,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2778_sumex.pdf,"Pedro Humberto Bruno de Carvalho Junior e Ticiana Gabrielle Amaral Nunes / Rio de Janeiro, Junho de 2022"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39404,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2778.pdf,"Pedro Humberto Bruno de Carvalho Junior e Ticiana Gabrielle Amaral Nunes / Rio de Janeiro, Junho de 2022"
