,Data de Criação,Categoria,Organizadores,Link do PDF,Título do Livro,Link
26,01/12/2020 12:31,Uma jornada pelos contrastes do Brasil : cem anos do Censo Agropecuário,,/portal/images/stories/PDFs/livros/livros/201201_livro_uma_jornada_pelos_contrastes_do_brasil.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37147
27,11/11/2020 12:24,Beijing+20: avanços e desafios no Brasil contemporâneo,,/portal/images/stories/PDFs/livros/livros/201111_livro_beijing_20_book_web.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37040
28,14/10/2020 12:54,História das Políticas Regionais no Brasil,,/portal/images/stories/PDFs/livros/livros/201014_livro_historias_das_politicas_regionais_no_brasil.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36834
29,30/09/2020 15:10,Refúgio no Brasil: integração de refugiados e solicitantes de refúgio em Brasília (2019),,/portal/images/stories/PDFs/livros/livros/200930_livro_refugio_completo.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36718
30,16/09/2020 10:04,"Políticas Públicas, Economia Criativa e da Cultura",,/portal/images/stories/PDFs/livros/livros/200916_politicas_publicas_economia_criativa.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36626
31,21/08/2020 18:14,Fronteiras do Brasil: uma avaliação do arco Sul,,/portal/images/stories/PDFs/livros/livros/200821_lv_199385_livro_fronteiras_do_brasil.pdf,Volume 5,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36432
32,21/08/2020 13:57,Coordenação e relações intergovernamentais nas políticas sociais brasileiras,,/portal/images/stories/PDFs/livros/livros/200821_coordenacao_book.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36431
33,22/06/2020 12:16,A Midiatização do Refúgio no Brasil (2010,,/portal/images/stories/PDFs/livros/livros/200824_lv_199651_midiatizacao_web.PDF,2018),https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35874
34,22/06/2020 09:59,"Desenvolvimento Regional No Brasil Políticas, Estratégias e Perspectivas",,/portal/images/stories/PDFs/livros/200622_livro_desenvolvimento.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35868
35,03/06/2020 15:19,Instituições e Desenvolvimento no Brasil: diagnósticos e uma agenda de pesquisas para as políticas públicas,,/portal/images/stories/PDFs/livros/200622_livro_instituicoes.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35653
36,12/05/2020 12:28,,,/portal/images/stories/PDFs/livros/200601_conselhos_nacionais_web.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35565
37,12/05/2020 12:28,Conselhos nacionais de direitos humanos: uma análise da agenda política,,/portal/images/stories/PDFs/livros/200601_conselhos_nacionais_web.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35565
38,12/05/2020 12:28,,,/portal/images/stories/PDFs/livros/200601_conselhos_nacionais_web.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35565
39,08/04/2020 09:58,,"EQUIPE TÉCNICA: Enid Rocha Andrade da Silva (coordenadora), Anna Maria Peliano e José Valente Chaves / Brasília, 2019",http://www.ipea.gov.br/portal/images/stories/PDFs/livros/livros/200408_Cadernos_ODS_17.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35454
40,08/04/2020 09:58,,,http://www.ipea.gov.br/portal/images/stories/PDFs/livros/livros/200408_Cadernos_ODS_17.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35454
41,08/04/2020 09:58,ODS 17: Fortalecer os Meios de Implementação e Revitalizar a Parceria Global para o Desenvolvimento Sustentável,,http://www.ipea.gov.br/portal/images/stories/PDFs/livros/livros/200408_Cadernos_ODS_17.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35454
42,03/04/2020 17:51,Implementação de Políticas e Atuação de Gestores Públicos,,/portal/images/stories/PDFs/livros/200403_implementacao_politica_web.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35427
43,02/01/2020 09:59,Fronteiras do Brasil: uma avaliação do arco Central,,/portal/images/stories/PDFs/livros/livros/20200109%20-%20livro_fronteirasdobrasil_vol%204_completo.pdf,Volume 4,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35256
44,13/12/2019 18:28,Legacy of the CDM: lessons learned and impacts from the Clean Development Mechanism in Brazil as insights for new mechanisms,,/portal/images/stories/PDFs/livros/livros/191213_legacy_of_the_cdm.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35242
45,26/11/2019 17:36,Diagnóstico e desafios da agricultura brasileira,,/portal/images/stories/PDFs/livros/livros/191126_diagnostico_e_desafios_da_agricultura_brasileira.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35200
46,25/11/2019 12:59,"Empresas estatais : políticas públicas, governança e desempenho",,/portal/images/stories/PDFs/livros/livros/191125_livro_empresa_estatal_no_brasil.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35195
47,22/11/2019 15:22,2030 AGENDA,,/portal/images/stories/PDFs/livros/livros/191122_livro_2030_agenda_sdg_national_targets_of_sustainable_development_goals.pdf,SDG – National Targets of Sustainable Development Goals,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35192
48,20/11/2019 17:18,Avaliação de políticas públicas no Brasil: uma análise do semiárido,,/portal/images/stories/PDFs/livros/livros/191120_avaliacao_de_politicas_publicas.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35184
49,14/11/2019 16:08,"ODS 16: Promover Sociedades Pacíficas e Inclusivas para o Desenvolvimento Sustentável, Proporcionar o Acesso à Justiça para todos e Construir Instituições Eficazes, Responsáveis e Inclusivas em Todos os Níveis","EQUIPE TÉCNICA: Enid Rocha Andrade da Silva (coordenadora), Anna Maria Peliano e José Valente Chaves / Brasília, 2019",/portal/images/stories/PDFs/livros/livros/191114_cadernos_ODS_objetivo_16.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35174
50,15/10/2019 15:02,"Uma Análise da Base de Dados do Sistema de Informação Hospitalar entre 2001 e 2018: dicionário dinâmico, disponibilidade dos dados e aspectos metodológicos para a produção de indicadores sobre violência","Autores: Daniel R. C. Cerqueira, Paloma P. Alves, Danilo S. C. Coelho, Milena V. M. Reis e Adriana S. Lima / Rio de Janeiro, 2019",/portal/images/stories/PDFs/livros/livros/191015_Uma_analise_da_base_de_dados_do_sistema_de_informacao.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35107
51,14/10/2019 09:00,ODS 13: Tomar Medidas Urgentes para Combater a Mudança do Clima e seus Impactos,"EQUIPE TÉCNICA: Enid Rocha Andrade da Silva (coordenadora), Anna Maria Peliano e José Valente Chaves / Brasília, 2019",/portal/images/stories/PDFs/livros/livros/191014_cadernos_ODS_objetivo_13.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35102
52,11/10/2019 15:25,Patrimônios de Práticas na Cultura Brasileira,"Frederico Augusto Barbosa da Silva, Irmina Anna Walczak, Juliana Veloso Sá e Daniela Ribas Ghezzi / Rio de Janeiro, 2019",/portal/images/stories/PDFs/livros/livros/191011_livro_patrimonios_praticas_cultura_brasileira.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35100
53,23/09/2019 18:04,ODS 8,"EQUIPE TÉCNICA: Enid Rocha Andrade da Silva (coordenadora), Anna Maria Peliano e José Valente Chaves / Brasília, 2019",/portal/images/stories/PDFs/livros/livros/190920_cadernos_ODS_objetivo_8.pdf,"Promover o crescimento econômico sustentado, inclusivo e sustentável, emprego pleno e produtivo, e trabalho decente para todas e todos",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35057
54,06/09/2019 09:00,ODS 5,"EQUIPE TÉCNICA: Enid Rocha Andrade da Silva (coordenadora), Anna Maria Peliano e José Valente Chaves / Brasília, 2019",/portal/images/stories/PDFs/livros/livros/190905_cadernos_ODS_objetivo_5.pdf,Alcançar a Igualdade de Gênero e Empoderar Todas as Mulheres e Meninas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35025
